Area,Year,Total Crops Yielded per 100g/ha,Total Crop Based Food Balance per 1000t,Total Fertilizers Used in Tonnes,Total FDI Inflows per million USD,Total Crop Emissions N20,Total Land Use per 1000/ha,Total Pesticides Used in Tonnes,Total Cereal Export Value per 1000 USD,Total Sugar and Honey Export Value per 1000 USD,Total Fruits and Vegetables Export Value per 1000 USD,Total Tobacco Export Value per 1000 USD,Total Fats and Oils Export Value per 1000 USD
Czechia,2015,125707.3,599.5384615384615,90305.71428571429,465.086966,1.874,2536.0,4472.87,1317083.62,365131.74,460234.32999999996,748171.03,486393.00999999995
Czechia,2016,141672.0,618.0769230769231,95649.35714285714,9814.769034,1.9404,2539.0,4433.0,1370532.29,381196.9,476792.14,869341.4399999998,532579.5
Czechia,2017,139192.1,588.6153846153846,99532.3846153846,9521.682026,1.7153,2543.0,4433.0,1407978.03,374369.17,468578.61,944837.65,404249.31
Czechia,2018,174358.42857142858,515.7692307692307,92584.64285714286,11010.3641,1.6086,2533.0,4092.0,1390784.33,355189.69,473571.02,801276.99,354576.5
Czechia,2019,183783.42857142858,497.2307692307692,89071.47285714287,10108.40697,1.7444,2531.821,3908.2,1330057.3,341510.08,459504.8,844755.88,366488.96
Czechia,2020,189402.0,561.2307692307693,65150.676875,9411.476213,1.8274,2534.262,3515.1,1552178.91,333487.94,502911.4,1013929.2700000001,369760.17
Czechia,2021,200051.2857142857,604.4615384615385,47884.300434782606,9050.643918,1.8488,2524.272,3461.1,1856449.49,401564.16,585425.38,745900.92,445214.0
Côte d'Ivoire,2010,91439.45454545454,189.76923076923077,24498.0,338.941643,0.5228,7400.0,93.32,56663.0,15315.0,376594.0,46382.0,184425.0
Côte d'Ivoire,2011,94991.72727272728,204.69230769230768,16366.42857142857,301.576719,0.4648,7400.0,93.34,72643.0,26133.0,459665.0,56343.0,307558.0
Côte d'Ivoire,2017,96696.18181818182,306.1538461538462,11517.20652173913,975.0149289999999,0.9113,8800.0,22.1,73126.16,13647.989999999998,1433457.24,76818.96,193273.98
Côte d'Ivoire,2018,96277.09090909091,335.3333333333333,9442.223913043477,620.330646,0.8748000000000001,9950.0,29.33,58513.38,19383.07,1395808.43,66265.17,218977.05
Côte d'Ivoire,2019,97082.09090909091,344.2307692307692,16442.784782608695,935.684597,0.8491,10030.0,92.26,63977.76,12669.88,1028594.95,75783.06,226106.51000000004
Côte d'Ivoire,2020,97297.72727272728,333.3076923076923,13596.470869565219,712.9158939999999,0.7432,10100.0,88.56,89118.22,5047.44,1139839.87,81310.2,238296.8
Democratic Republic of the Congo,2010,83322.6,3.1818181818181817,1374.923076923077,2939.27,1.1915,10229.0,1105.73,22551.0,2333.0,1915.0,19506.0,1375.0
Democratic Republic of the Congo,2011,81406.5,4.363636363636363,1218.9166666666667,1686.9,1.2522,11436.0,1105.73,19826.0,2400.0,1696.0,4343.0,1015.0
Denmark,2010,163058.11111111112,361.84615384615387,38645.2,-8979.246383,2.042,2426.0,3894.0,1222559.0,419830.0,510901.0,281541.0,488892.0
Denmark,2011,176593.22222222222,332.84615384615387,38793.2,11939.55345,2.0523,2503.0,4549.46,1439869.0,391079.0,591008.0,237430.0,570929.0
Denmark,2012,177959.66666666666,323.0,37201.6,776.86932,2.1811,2424.0,5959.04,1430602.0,385447.0,572342.0,203362.0,538972.0
Denmark,2013,173197.66666666666,307.2307692307692,38264.8,890.264248,2.0942,2433.0,4197.1,1480313.0,378435.0,636310.0,221259.0,504482.0
Denmark,2014,188966.44444444444,346.2307692307692,44627.9,4668.176398,2.2512,2459.631,1821.89,1700224.47,394342.13,627140.7,243294.82999999996,495982.55000000005
Denmark,2015,183452.33333333334,382.0769230769231,51723.5,3609.144592,2.3048,2378.899,2583.75,1685889.86,327171.06,539160.57,201383.69,416502.26
Denmark,2016,187479.66666666666,338.15384615384613,41515.7,235.006799,2.1207,2399.5,2586.88,1565422.27,320373.95,545136.14,225255.63,464878.55
Denmark,2017,189235.0,354.6923076923077,51101.14,3748.661569,2.3081,2396.6,2708.11,1811566.7,311605.78,560373.22,215215.07,529360.93
Denmark,2018,234607.0,303.0769230769231,28347.704,1715.226208,1.6361,2419.8,2647.13,1729796.88,287194.48,619784.96,216602.11,538773.63
Denmark,2019,279986.6666666667,309.0769230769231,32327.0975,7072.700330000001,2.2003,2419.278,2660.87,1700778.07,272448.21,594829.67,185140.26,543278.95
Denmark,2020,281260.3333333333,324.9230769230769,36473.875,1681.403928,2.1862,2397.582,3168.46,1813032.75,278408.93,601395.46,223710.81999999998,567216.27
Denmark,2021,269566.8333333333,334.0769230769231,14539.4,4692.137711,2.0086,2384.0,2975.53,1777389.3,330939.56,613577.86,328250.77,721738.08
Dominican Republic,2010,110952.36363636363,82.75,20536.8,2023.727859,0.2217,1200.0,6316.61,13060.0,197770.8,255039.8,356831.0,149.0
Dominican Republic,2011,96668.27272727272,78.5,16373.8775,2276.7,0.2258,1200.0,6384.22,12883.0,207731.8,267499.0,381730.0,348.0
Dominican Republic,2012,104202.09090909091,75.66666666666667,16766.5,3142.4,0.1903,1155.0,6451.830000000001,140602.0,148920.0,303692.0,514612.0,23377.0
Dominican Republic,2013,103859.63636363637,71.5,15858.636363636364,1990.5,0.2017,1155.0,6519.43,120948.0,149320.0,356428.0,594727.0,32234.0
Dominican Republic,2014,110091.18181818182,126.53846153846155,18493.052631578947,2208.5,0.2262,1155.0,6587.04,226054.42,139591.42,570434.42,596978.01,40478.0
Dominican Republic,2015,106387.36363636363,100.6923076923077,16192.888888888889,2204.9,0.2232,1232.0,5028.43,109114.71999999999,120460.63000000002,410215.2299999999,717135.46,24689.470000000005
Dominican Republic,2016,84880.90909090909,98.76923076923077,18743.41176470588,2406.7,0.2212,1232.0,5874.45,86199.59,118266.23,460541.97,764897.6099999999,29093.85
Dominican Republic,2017,95852.27272727272,89.92307692307692,19505.1875,3570.7,0.2332,1232.0,6815.45,93824.74,125748.16999999998,632371.16,843502.13,33849.61
Dominican Republic,2018,98904.81818181818,90.61538461538461,15106.470476190474,2535.3,0.2506,1232.0,7069.45,107338.16999999998,131142.13,468049.55,874130.94,33031.92
Dominican Republic,2019,92303.90909090909,118.0,9905.433684210526,3021.0,0.2404,1232.0,7069.45,141346.88,112379.48,502998.37999999995,941952.73,36191.42
Dominican Republic,2020,94021.45454545454,114.61538461538461,11122.783157894737,2559.6,0.2429,1232.0,7069.45,110441.88000000002,135684.95,501216.7700000001,937091.97,32121.12
Dominican Republic,2021,93736.45454545454,121.6923076923077,10108.755263157893,3196.8,0.2583,1232.0,2565.86,139308.82,142696.9,569648.38,1236078.69,62873.67
Ecuador,2010,120004.8,480.8461538461539,45874.30538461539,165.82,0.6948000000000001,2577.8,31637.12,26899.0,55246.0,2449993.0,39827.0,167236.0
Ecuador,2011,132389.0,547.3846153846154,50159.73230769231,644.07,0.6551,2535.2,17529.44,36927.0,62177.0,2715463.0,43743.0,331864.0
Ecuador,2014,133326.5,549.8461538461538,38437.104736842106,776.5909459999999,0.7155,2387.0,33573.94,26286.439999999995,52382.59,3090643.06,62711.29,273876.29
Ecuador,2015,147397.1,628.9166666666666,30486.063000000002,1331.247339,0.7787,2551.0,44564.66,15486.41,51788.52,3325032.76,58413.27,284927.7
Ecuador,2016,130404.1,629.0,32701.58695652174,764.100872,0.6349,2415.0,39239.6,16898.2,102873.58,3251246.14,54759.06,287633.11
Ecuador,2017,132231.1,662.6666666666665,39263.045454545456,629.542412,0.6171,2464.0,37808.0,19061.06,71928.21,3571732.25,67242.08,273590.3
Ecuador,2018,125461.9,625.2307692307693,43401.84090909091,1389.19878,0.6088,2354.0,37408.2,37406.33,31832.97,3783731.35,70125.85,250184.94
Ecuador,2019,124177.6,679.75,40190.99090909091,979.0205000000001,0.5752,2429.0,34081.3,40739.88,56100.31,3921876.37,77308.24,161751.42
Egypt,2010,181275.18181818182,300.61538461538464,726428.5714285715,6385.6,4.0725,3671.0,11590.0,461432.0,174224.0,1374738.0,36167.0,153736.0
Egypt,2011,176617.54545454544,390.6923076923077,634625.0,-482.7,4.6156,3620.0,12945.0,147307.0,433636.0,2182474.0,44146.0,441977.0
Egypt,2012,176804.72727272726,286.0769230769231,497333.3333333333,6030.3,4.9443,3696.0,13991.0,242177.0,250984.0,1924877.0,36376.0,290456.0
Egypt,2013,174447.0909090909,385.8461538461538,414583.3333333333,4256.2,5.0371999999999995,3730.97,13653.0,377911.0,346794.0,2380744.0,70967.0,115822.0
Egypt,2014,176641.36363636365,387.7692307692308,452000.0,4612.2,4.8752,3715.19,11363.0,179509.05,278219.19,2372581.78,84526.99,143206.56
Egypt,2015,175738.36363636365,407.8461538461538,301249.5833333333,6925.2,4.9039,3789.8771,8043.71,302945.82,293344.19,2398958.25,62413.35999999999,84872.0
Egypt,2016,171286.63636363635,409.0,608673.9166666666,8106.8,4.8989,3733.7654,11523.61,237396.89,383875.83,2428440.35,96350.21999999999,132709.34
Egypt,2017,173367.0,412.38461538461536,2776284.117142857,7408.7,4.767800000000001,3836.9688,8107.45,258959.6,352003.76,2799022.3,122687.64,159205.16
Egypt,2018,176881.63636363635,368.2307692307692,1807356.0385714285,8141.3,3.8488000000000007,3863.0,11352.49,367248.82,315211.87,2820260.81,113502.88000000002,114606.77
El Salvador,2010,128039.27272727272,94.15384615384616,40470.25,-230.33,0.2233,871.4,3598.59,170336.0,211954.0,76211.0,77.0,9165.0
El Salvador,2011,130006.36363636363,102.84615384615384,42250.555555555555,218.49,0.2183,872.7,3231.13,211041.0,220503.0,97009.0,67.0,9366.0
El Salvador,2015,137177.54545454544,123.5,24974.148999999998,396.61999999999995,0.2151,877.9,1747.35,204583.61,265995.47,96125.76,26.36,23259.86
El Salvador,2016,148220.9090909091,99.84615384615384,25820.74846153846,347.43,0.2523,879.2,1419.2,192822.55,213461.25,96856.08000000002,25.56,21148.26
El Salvador,2017,152925.27272727274,109.3076923076923,25580.441666666662,889.1,0.23370000000000002,880.5,3133.73,187662.66,287353.73,74335.88,25.980000000000004,20464.96
El Salvador,2018,152606.36363636365,114.5,36880.39636363636,826.0100000000001,0.2013,881.0,2955.68,198790.7,241747.27,78435.48,17.43,19809.77
El Salvador,2019,162216.9090909091,126.66666666666667,18902.17,636.16,0.2148,881.0,2525.72,232971.1,256306.58999999997,82313.32,71.01,21359.96
El Salvador,2020,157745.54545454544,126.5,12810.884285714286,293.44,0.21260000000000004,881.0,3098.7,203740.62,289205.92,71912.03,330.22,26232.4
El Salvador,2021,161217.36363636365,122.0,17497.062142857143,314.47,0.235,881.0,3793.4,232486.08,320173.44,81097.17,244.28,28475.99
Estonia,2010,68664.57142857143,45.61538461538461,12995.68923076923,1508.51936,0.1752,652.1,514.0,79095.0,13931.0,38922.0,9666.0,54477.0
Estonia,2011,74503.0,52.30769230769231,16370.769230769232,1004.6499990000001,0.1952,639.4,460.0,141808.0,16988.0,53614.0,13424.0,46055.0
Ethiopia,2010,70050.45454545454,71.0,276942.5,288.272,3.7026,15683.0,4128.1,20621.0,2114.0,394664.0,300.0,0.0
Ethiopia,2011,70193.09090909091,69.84615384615384,275289.0,626.5100000000001,3.8559,16325.2,4128.1,26432.0,2472.0,412271.0,537.0,18.0
Ethiopia,2015,85218.81818181818,111.41666666666667,286275.6666666667,2626.52,4.9456,17121.0,4128.1,23601.3,2500.08,917013.22,86.52,0.11999999999999998
Ethiopia,2016,83333.81818181818,87.66666666666667,381053.3333333333,4142.937496,5.0472,17332.0,4128.1,17741.03,1489.25,242554.29,22.28,0.65
Ethiopia,2017,80175.36363636363,79.92307692307692,538210.975,4017.1,5.3197,17540.1,4128.1,25573.570000000003,1461.75,271552.92,0.49,131.92
Ethiopia,2018,86524.18181818182,61.30769230769231,688926.5,3310.3,5.0459,17903.0,4128.1,14784.010000000002,658.34,292400.8,0.66,467.0199999999999
Ethiopia,2020,84251.45454545454,83.23076923076923,57.98500000000001,2380.977218,5.3564,18476.1,4128.1,16843.03,1282.15,569710.52,420.2300000000001,2471.27
Fiji,2010,78327.55555555556,23.307692307692307,1524.7142857142858,176.353144,0.0045,146.1,689.97,48146.0,49714.0,7707.0,671.0,3903.0
Fiji,2011,86832.22222222222,21.0,1983.5,216.764537,0.0045,145.4,710.1,52488.0,80085.0,9945.0,6.0,4832.0
Finland,2010,124257.125,106.58333333333333,23894.11111111111,7358.832917,0.7102,2258.9,3806.97,251650.0,56189.0,73613.0,2547.0,45894.0
Finland,2011,143668.5,132.91666666666666,45095.77777777778,2549.850908,0.8516999999999999,2254.6,4043.94,424575.0,85899.0,92833.0,5260.0,53199.0
Finland,2012,118304.375,106.33333333333333,0.0,4157.968583,0.8421999999999998,2253.1,4283.01,324940.0,87299.0,77336.0,2847.0,49331.0
Finland,2013,134429.0,95.33333333333333,0.0,-106.248755,0.9286,2227.5,4475.97,327172.0,86064.0,71399.0,2120.0,22544.0
Finland,2014,142066.25,117.91666666666667,0.0,18571.06798,0.9506,2234.1,4436.73,385778.93,76328.76,70491.56,5655.0,23941.5
Finland,2015,118299.25,108.5,0.0,2109.175635,0.8554,2245.6,4919.12,298425.49,59623.11,61227.42,5264.75,15402.84
France,2010,171452.0,4295.461538461538,306066.6666666667,13890.562810000001,14.0842,19311.8,61903.0,11918365.0,1792521.0,6147524.0,760615.0,1262588.0
France,2011,189039.54545454544,4157.384615384615,268266.6666666667,31642.23506,13.5693,19281.6,61351.89000000001,15919495.0,2137363.0,6663452.0,828240.0,2277288.0
France,2012,175595.27272727274,3856.076923076923,464609.72222222225,16062.05361,14.454,19285.5,63844.29,14000906.0,2163706.0,6290057.0,805067.0,1692721.0
France,2013,173679.54545454544,4149.7692307692305,482259.5,34279.83262,14.4036,19302.2,66676.69,16390369.0,1927328.0,6843634.0,809960.0,1463401.0
France,2014,187975.9090909091,4116.692307692308,489169.8333333333,2672.937175,15.3106,19328.3,75339.2,14424841.79,1755708.54,6705859.24,617320.63,1373206.62
France,2015,174419.36363636365,4380.538461538462,499764.55555555556,45364.47354,15.7969,19465.0,66896.92,12582059.890000002,1478241.54,5734600.17,488304.7,1204735.45
France,2016,174013.0909090909,3968.153846153846,472504.3888888889,23076.75278,11.9289,19348.036,72064.82,10975023.64,1445221.27,5902297.1,460931.64,1336078.5
France,2017,189767.72727272726,3665.3846153846152,484960.2105263158,24832.52562,14.8067,19463.775,70603.5,10822640.67,1746622.18,6155316.79,399713.78,1281407.99
France,2018,230739.75,4117.384615384615,492558.1183333333,41832.98457,13.504500000000002,19132.2,85072.22,12767515.73,1798968.86,6122496.78,431728.91,1292354.3
France,2019,230012.5,4100.0,456141.1444444444,13100.09448,15.3054,19075.436,54366.969999999994,12731025.52,1374399.1,6084259.84,382575.59,1186074.22
France,2020,197340.875,4038.3076923076924,508051.6166666666,11359.14547,12.3348,18970.54,64858.85,13033154.4,1412316.94,6165071.05,333007.33,1444949.15
France,2021,227865.875,3942.923076923077,543934.6673333333,30884.90279,14.3061,18970.54,69602.42,14157922.1,1960585.97,6433835.87,393960.77,2109445.58
French Polynesia,2010,182012.7142857143,0.8181818181818182,79.14285714285714,64.303733,0.0,24.5,306.27,11.0,4.0,8364.0,0.0,4464.0
French Polynesia,2011,181519.57142857142,0.8181818181818182,155.1818181818182,130.557273,0.0,25.5,311.04,25.0,0.0,8245.0,0.0,7703.0
French Polynesia,2016,196507.14285714287,1.2222222222222223,53.20045454545455,61.575789,0.0,25.5,393.08,50.07,27.09,6138.24,0.34,8039.090000000001
French Polynesia,2017,195862.57142857142,1.125,83.04318181818182,90.038651,0.0,26.5,373.2,40.65,4.26,5697.21,1.09,7477.78
French Polynesia,2018,195792.57142857142,1.1,67.75,5.937841,0.0,27.5,366.98,36.57,4.839999999999999,6903.55,0.1,5810.83
French Polynesia,2020,200756.85714285713,0.8,73.5759090909091,-15.547613000000002,0.0,28.5,424.7,13.75,2.5100000000000002,5161.4,1.3699999999999999,4461.2
Gabon,2010,95150.77777777778,0.18181818181818182,350.6666666666667,521.665631,0.0115,495.0,485.69,0.0,0.0,114.0,845.0,1172.0
Gabon,2011,95623.44444444444,0.09090909090909091,400.0,874.873164,0.012,495.0,485.69,0.0,0.0,19.0,845.0,247.0
Gambia,2010,20275.333333333332,4.6923076923076925,3625.0,37.115022,0.1151,457.0,260.18,92.0,8247.0,9415.0,3.0,6893.0
Gambia,2011,20197.777777777777,5.769230769230768,5098.5,36.1,0.0612,457.0,262.41,2325.0,3473.0,5813.0,0.0,1993.0
Georgia,2014,36657.11111111111,27.454545454545457,4500.0,1836.979977,0.0979,475.0,3081.1,21509.55,761.44,236801.20000000004,1640.67,2095.06
Georgia,2015,33206.333333333336,18.583333333333332,4300.0,1728.75813,0.1027,477.7,1350.98,9440.99,1318.93,226570.25,7263.21,2747.21
Georgia,2016,38535.88888888889,22.25,6600.0,1653.9933700000001,0.1112,454.0,1481.0300000000002,7804.009999999999,5389.67,234218.65000000002,12584.34,3943.83
Georgia,2017,34095.11111111111,30.333333333333332,6900.0,1990.52644,0.0847,444.8,1738.19,14594.91,5373.1,151414.93,46537.62,5221.13
Georgia,2018,40275.88888888889,29.0,6800.0,1351.52967,0.0973,434.2,2237.26,10027.51,1215.06,152979.49,160573.7,4871.29
Georgia,2019,41288.0,27.083333333333332,7500.0,1352.18169,0.09460000000000002,432.6,2565.94,4776.84,1272.12,158334.3,69982.85,5687.95
Georgia,2020,43901.22222222222,31.5,10800.0,589.79805,0.1017,437.9,2863.3,3441.85,3218.07,210722.52,44064.23,4562.2
Ghana,2010,83109.0,56.84615384615385,16754.333333333332,2527.36,0.7995,6496.8478,1389.2299999999998,22470.0,42246.0,41030.0,2.0,65393.0
Ghana,2011,84229.45454545454,109.46153846153845,10782.083333333334,3237.39,0.7694,6588.913,2392.2900000000004,7280.59,120284.0,257162.93,2.0,90640.31
Ghana,2012,85170.72727272728,87.84615384615384,33639.75,3293.43,0.8041,6680.9783,3395.36,17785.0,1569.0,255303.0,0.0,154454.0
Ghana,2013,87813.18181818182,94.0,21878.071428571424,3226.33,0.7816,6773.043499999999,4398.42,25746.0,310.0,307306.0,0.0,197211.0
Ghana,2014,89308.90909090909,122.07692307692308,18513.833333333332,3356.99,0.7911,6865.1087,5401.49,31939.429999999997,933.43,293074.02,0.01,98699.91999999998
Ghana,2015,89206.45454545454,110.92307692307692,11930.074782608694,2970.89,0.7706,6957.1739,8884.39,29479.26,214.61,336010.8,0.7900000000000001,90822.6
Ghana,2016,89416.54545454546,147.16666666666666,10044.538260869564,3470.67,0.7696,7049.2391,9286.94,46510.51,930.5100000000001,1082091.61,50.36000000000001,115282.9
Ghana,2017,90479.09090909091,165.91666666666666,17477.37,3239.09,0.849,7141.3043,9689.5,52048.14000000001,171.34,450784.9799999999,2821.81,187028.2
Ghana,2018,89968.72727272728,184.53846153846155,13260.789565217388,2908.16,0.9641000000000001,7233.3696,9689.5,62313.01,197.32,630741.18,5915.89,176613.29
Ghana,2019,91862.45454545454,167.53846153846155,18164.53,3292.07,1.1068,7325.4348,9689.5,69326.66,54.58,399982.41,1236.83,190700.98999999996
Ghana,2020,92313.63636363637,167.15384615384616,26449.997391304347,1333.37,1.1379,7417.5,9689.5,49646.74,499.78,552370.44,500.56,209161.32
Ghana,2021,92816.18181818182,152.76923076923077,10448.252272727274,2413.89,1.3046,7417.5,9689.5,45203.4,814.05,686313.45,1.2,200801.71
Greece,2010,138559.36363636365,297.46153846153845,60665.6,330.046554,1.0352,3704.0,5607.7,401671.0,165903.0,1983145.0,497229.0,366720.0
Greece,2011,139689.18181818182,280.0,65663.57142857143,1143.146291,1.0467,3700.0,8189.8,452166.0,156257.0,2129631.0,516086.0,423998.0
Guatemala,2010,161397.0909090909,421.9230769230769,44604.36363636364,658.3,0.4728,2470.2,14898.25,151969.0,815938.0,780671.0,67318.0,178511.0
Guatemala,2011,153240.27272727274,410.38461538461536,48923.0,1219.2,0.4812,2459.8,16540.71,157195.0,763421.0,916905.0,69524.0,296728.0
Guinea,2011,70260.72727272728,4.416666666666667,4155.333333333333,956.06,1.0894,3600.0,663.23,3741.0,14.0,28723.0,164.0,562.0
Guinea,2016,71369.18181818182,14.727272727272727,1534.5,1618.4472600000001,1.2708,3865.0,163.96,3761.77,15.33,26139.42,176.79,924.85
Guinea,2017,71317.27272727272,14.583333333333334,6313.546666666666,577.59,1.3392999999999997,3895.0,206.3,437.31,5.51,109682.15,2.04,1501.7200000000003
Guinea,2018,71393.27272727272,10.166666666666666,11709.52,352.76,1.3875,3922.0,108.5,659.75,155.87,65232.02,48.43999999999999,970.93
Guyana,2010,114821.44444444444,36.69230769230769,4246.888888888889,198.0,0.1393,448.0,449.34,180112.0,127113.0,8331.0,60.0,1441.0
Guyana,2011,105118.33333333333,40.15384615384615,2658.3636363636365,246.8,0.1528,448.0,502.36,151473.0,175924.0,9244.0,56.0,1746.0
Honduras,2010,125156.18181818182,134.15384615384616,13690.727272727272,969.19,0.1791,1498.0,5736.63,31367.0,71044.0,471688.0,105388.0,171723.0
Honduras,2011,125686.54545454546,138.76923076923077,22966.0,1014.414,0.1799,1528.0,6324.41,55331.0,54631.0,580857.0,120124.0,263561.0
Hungary,2010,116285.1,833.5384615384615,71212.2,2352.823563,2.427,4580.0,10299.5,1599912.0,437018.0,945966.0,39656.0,294910.0
Hungary,2011,123672.0,750.0,83613.85714285714,6536.940947,2.6883,4578.0,8473.26,2026675.0,531320.0,1042663.0,127794.0,503705.0
Hungary,2012,105552.2,833.8461538461538,60301.95238095238,14606.38452,2.2074,4579.0,8141.23,2058731.0,612636.0,1073957.0,138101.0,660824.0
Hungary,2013,116521.0,757.1538461538462,67639.80952380953,3584.7407179999996,2.7538,4498.0,7767.34,1907538.0,544607.0,1124594.0,200461.0,781610.0
Hungary,2014,138298.6,793.3076923076922,65617.57142857143,7967.549962000001,3.2143,4503.0,9003.86,1855153.5900000003,422520.74000000005,1134823.23,184510.71,634031.69
Hungary,2015,122594.3,893.0,67682.57142857143,-14537.42524,2.866,4503.0,9483.76,1750487.08,323013.73,920927.85,76489.82,523762.4
Hungary,2016,135978.4,828.2307692307692,81143.33333333333,-5438.54839,3.2417,4499.0,9763.86,1490853.96,331560.96,934661.4,87705.52,515375.19000000006
Hungary,2017,131566.9,1029.5384615384614,91703.15,3514.894612,2.8257999999999996,4499.0,9756.22,1942483.89,370038.59,1047634.0600000002,154733.29,615209.96
Hungary,2018,175596.57142857142,813.5384615384615,91424.6,6460.331074,2.9296,4497.0,8535.05,1595304.14,327528.26000000007,1042674.38,217949.5,620500.15
Hungary,2019,174816.7142857143,896.6923076923077,89140.4,4256.176107,3.0735,4488.0,7814.98,1724483.53,294916.67,969970.32,217333.19,601337.59
Hungary,2020,177736.2857142857,1048.6923076923076,93478.65,7046.719591,3.0372,4184.1357,8679.09,2098137.05,318920.76000000007,1066980.11,236673.04,637625.32
Hungary,2021,176107.0,934.4615384615385,96197.15,7558.810973,2.8467,4289.1993,8858.11,2213855.27,355866.47000000003,1139719.21,170627.34,937092.67
Iceland,2010,655568.0,0.08333333333333333,3925.0,245.13944499999997,0.0005,123.0,2.73,213.0,520.0,351.0,6.0,0.0
Iceland,2011,613472.0,0.16666666666666666,3813.6666666666665,1107.482277,0.0004,122.2,3.4300000000000006,160.0,615.0,268.0,0.0,4.0
Iceland,2012,631482.5,0.25,5683.222222222223,1025.126844,0.0004,121.2,3.14,310.0,602.0,299.0,0.0,16.0
Iceland,2013,718138.0,0.16666666666666666,1492.5,396.816633,0.0003,121.2,2.41,243.0,637.0,416.0,0.0,152.0
Iceland,2016,476990.6666666667,0.5384615384615384,3840.086956521739,-427.236585,0.0022,121.0,3.0,324.65,866.08,487.18,0.03,3446.09
Iceland,2020,322521.6666666667,0.5833333333333334,2309.304347826087,-927.82659,0.002,121.0,0.69,262.88,280.46,1135.37,307.43,8430.12
Iceland,2021,326278.6666666667,0.5,2329.304347826087,24.959047,0.0021,121.0,1.35,655.01,518.12,2176.98,1684.9399999999998,8387.38
India,2010,119836.63636363637,1178.3076923076924,4706350.0,245.13944500000002,78.27599999999998,169234.0,40093.69,3205012.0,1095761.0,2709566.0,878446.0,643150.0
India,2011,122194.90909090909,1861.076923076923,4950691.818181818,1107.482277,82.3277,169369.0,55540.0,5805726.0,2155603.0,3744886.0,799508.0,932619.0
India,2012,123644.36363636363,2948.7692307692305,4481790.833333333,1025.126844,83.21219999999998,169346.0,52980.0,9226848.0,2245573.0,3523180.0,923410.0,834332.0
India,2013,121819.72727272728,3246.3076923076924,4330469.166666667,396.816633,83.84149999999998,169442.0,45620.0,12301228.0,1261167.0,4173728.0,1089446.0,841906.0
India,2014,125797.0,2926.7692307692305,4493785.833333333,447.112819,84.0722,169463.0,56267.67,10715438.07,1383356.18,3984452.24,957215.82,832635.59
India,2015,126346.81818181818,2404.076923076923,4648623.333333333,708.53039,81.555,169413.0,56720.12,7504861.96,1526811.7300000002,3825608.9100000006,934957.77,853433.2
India,2016,124109.36363636363,2273.0,4507617.5,-427.236585,84.2465,169317.0,58634.43,6199155.070000001,1766645.9699999997,3994467.82,1012177.41,798621.15
India,2017,125282.18181818182,2441.4615384615386,4583016.666666667,-41.407008,87.9354,168895.136,63405.78,7985807.09,1272931.22,4261247.08,929563.65,1122512.98
India,2018,138899.36363636365,2505.2307692307695,5162045.454545454,-381.464641,88.8488,168777.91100000002,59669.93,8393267.08,1276120.46,3858856.7899999996,983963.8,1064048.62
India,2019,139044.0,2458.3076923076924,5606145.454545454,-224.879484,89.2447,168669.0764,61701.9,7756384.79,2074054.7199999997,3913896.4,964623.87,1136274.01
India,2020,140616.9090909091,3425.153846153846,6145336.363636363,-927.82659,93.1286,168047.948,61701.9,9421767.66,2847328.14,4049699.97,847752.92,1387708.46
India,2021,143327.63636363635,5089.846153846154,6388340.0,24.959047,96.6239,168047.948,61701.9,13225468.259999998,4446884.47,4492494.77,911912.48,1617779.7699999998
Indonesia,2010,135636.45454545456,1872.2307692307693,2075406.75,13770.0,17.3188,44380.0,313639.25,346205.0,177028.0,590653.0,672597.0,16116977.0
Indonesia,2011,129206.36363636363,1947.8461538461538,2264028.5,19241.0,16.9566,45410.0,206061.7,414884.0,195429.0,838396.0,710070.0,21259077.0
Indonesia,2012,136167.18181818182,2140.769230769231,2376537.25,19139.0,17.3898,45440.0,254912.71,438919.0,203582.0,740846.0,794176.0,20820128.0
Indonesia,2013,137142.0909090909,2350.153846153846,2284976.5,18816.66,17.2904,45970.0,314990.4,501592.0,237820.0,768363.0,931385.0,18271219.0
Indonesia,2014,137920.27272727274,2594.6153846153848,2367972.75,21810.42,17.2039,46300.0,253450.88,565747.75,285826.02,1056990.72,1025437.53,20906068.28
Indonesia,2015,143072.36363636365,2875.0,2330157.5,16642.15,17.5425,46800.0,313069.12000000005,620369.13,220016.86,1224727.09,981880.62,18563036.69
Indonesia,2016,145103.54545454544,2527.923076923077,2460280.75,3920.68,16.8176,48700.0,349797.62999999995,671614.87,225010.87,1084178.2,1009506.13,18091951.93
Indonesia,2017,147890.27272727274,2935.6153846153848,2390051.75,20579.22,17.9468,52300.0,279005.69,801480.69,233823.51000000004,1369087.54,1139599.75,22773280.0
Indonesia,2018,150974.0909090909,3091.846153846154,2583225.25,20563.47,19.0923,52900.0,261305.81000000003,872794.07,264527.72,1235049.61,1197293.99,20099870.19
Indonesia,2019,152332.54545454544,3025.846153846154,2454700.0,23883.26,16.096,53100.0,274421.03,824280.1099999999,282858.89,1226162.73,1206497.02,17328254.56
Indonesia,2020,153358.54545454544,3013.846153846154,1737714.0,18541.33,16.8792,53300.0,213036.33,883939.0,307686.57,1490516.12,1150718.66,20396857.16
Indonesia,2021,157072.54545454544,3149.0,2323544.25,21131.09,15.9729,53600.0,283297.13,994951.41,528236.04,1744900.74,1147419.03,32036337.1
